"","Time1","CV1","CVM","CV99","CL1","CLM","CL99","CK1","CKM","CK99","CM1","CMM","CM99","CF1","CFM","CF99"
"1",-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",-3.99583333333333,0.073479530797255,0.103354986856249,0.155408039398547,0.137477899261049,0.231034823863426,0.399120796901549,0.0558307960388974,0.093850823845411,0.191784948129226,0.0101118767883391,0.0139680169450591,0.0320361870718732,0.00215405626515141,0.00411329202641311,0.00471435242342006
"3",-3.99166666666667,0.11162594643504,0.153644348060726,0.229837852937128,0.256422592365313,0.358549749190298,0.62142772759807,0.0875529699484871,0.142515697637142,0.281013306077032,0.0235141128235955,0.028469556815092,0.0572928042060612,0.0038132716215473,0.00647227463215564,0.00710801219575211
"4",-3.9875,0.142078749397717,0.194706446204496,0.290906589295886,0.357016956702185,0.470399484612668,0.798332888490541,0.112659384886224,0.181766828915276,0.35584451859112,0.0362882487698746,0.0411950251767147,0.0762784583386121,0.00506888629960125,0.00833634302165821,0.00906747343186168
"5",-3.98333333333333,0.168347990021774,0.23146162142285,0.345709870435818,0.446968811096365,0.56656719925749,0.955673393736265,0.134222873802481,0.216782334502304,0.424382991158741,0.0479568784235076,0.0500659290207853,0.0929234996968748,0.00612496984555026,0.00999084004186255,0.0108542486375861
"6",-3.97916666666667,0.19191624927898,0.265218856776882,0.396249176643684,0.528269152000661,0.651843182311588,1.10040004225943,0.153490959038112,0.249647351004862,0.488601227809828,0.0570237407000425,0.0586407368085093,0.108127838201201,0.00706069594628542,0.011511169058667,0.012526404504961
"7",-3.975,0.213481727376131,0.296428381911045,0.443206867687122,0.601876533650228,0.729487304935776,1.2347863066288,0.17102414885791,0.281749032092379,0.54910831011972,0.0642941955493733,0.068371029785771,0.122222368919233,0.0079117003113519,0.0129219829938758,0.0141013368924732
"8",-3.97083333333333,0.233402491500991,0.325318527733218,0.486901800424447,0.668501645222279,0.801102451487886,1.35982880994716,0.187229413610176,0.310769450683713,0.606179500509985,0.0709716144395812,0.0771820802682059,0.135335654029309,0.00869557353168109,0.0142340223112607,0.0155866006201845
"9",-3.96666666666667,0.25188345092622,0.352054799262296,0.527547320960842,0.728753889383576,0.867555581583473,1.47615941342046,0.202276264558757,0.336976329817923,0.660002039190425,0.0771543567053006,0.0851498200377246,0.147539631352277,0.00942191005904961,0.0154442144203539,0.016987585395924
"10",-3.9625,0.26905866392855,0.376780099196733,0.565321417757965,0.783180233927104,0.929377968131801,1.5842920945059,0.216273559790869,0.360612297508412,0.710735031932305,0.0828997735043545,0.092345831824339,0.15888910456152,0.0100966509964649,0.0165542725845183,0.0183086403332932
"11",-3.95833333333333,0.28502804602839,0.399625220672859,0.60038607120895,0.832278400190067,0.98694300093003,1.68469060291356,0.229301291742327,0.38189867284879,0.758524706244237,0.0882461831115739,0.0988361929446969,0.169432470093268,0.0107240106107681,0.0175800661843096,0.0195531722846113
"12",-3.95416666666667,0.299873868460957,0.420711880523371,0.632892838845594,0.87650316960698,1.04054580320668,1.77778772593987,0.24142477595596,0.401037739699732,0.80350874345435,0.0932226887185343,0.104681517054195,0.179214672209163,0.0113073392564304,0.0185270521152035,0.0207247608839599
"13",-3.95,0.313668256769883,0.440153861830034,0.662984695046673,0.916270606793763,1.09043916025505,1.8639914331377,0.252701060528176,0.418214495792857,0.845817813553659,0.097853589189819,0.109937299828945,0.188278066373333,0.0118495134886964,0.0194003295612053,0.0218268020076066
"14",-3.94583333333333,0.326476672087517,0.458057659445915,0.690796837727105,0.951961500946168,1.13684996176131,1.94368742107855,0.263181878540334,0.433598160463498,0.885576319571649,0.102160383281161,0.11465432127052,0.196662723367849,0.0123531153155045,0.020204670582886,0.0228625281274762
"15",-3.94166666666667,0.338359593914895,0.474522978412264,0.716457197771198,0.983924398660956,1.17998693603449,2.01724063387805,0.272884271730141,0.448113180908359,0.922902874686463,0.106162700640823,0.118879037850002,0.204406584897877,0.0128205171744859,0.0209445428661446,0.0238350210619672
"16",-3.9375,0.349373393307014,0.489643174192503,0.740086851779447,1.01247834727079,1.22004448001873,2.08499645973191,0.281828532948151,0.462509843987668,0.957910664564963,0.109878752726292,0.122653948010395,0.211545579225652,0.0132539245852796,0.021624129552014,0.0247472215407501
"17",-3.93333333333333,0.359570837583516,0.503505658311196,0.761800393595613,1.03791539658959,1.25720472721532,2.14728179637317,0.290104805461075,0.47571052410309,0.990707748350898,0.113325567775637,0.126017928439076,0.218113724618683,0.0136553996433848,0.0222473474383768,0.0256019370981665
"18",-3.92916666666667,0.369001423615405,0.51619227656792,0.781706280621049,1.06050288603476,1.29163880943031,2.20440604064692,0.297754049394913,0.487793042306966,1.02139732154444,0.116519127587868,0.129006542239027,0.224143227225247,0.014026875697251,0.0228178639333368,0.0264018489407259
"19",-3.925,0.377711627958584,0.527779662811098,0.799907160112736,1.08048553713504,1.32350773956097,2.25666201972732,0.304814686070445,0.498830264042312,1.05007795282953,0.119474458684317,0.131652321010611,0.229664574686267,0.0143701678348463,0.0233391129086184,0.0271495181188288
"20",-3.92083333333333,0.385745113602702,0.538339570134994,0.816500177642539,1.09808736843958,1.35296310694868,2.30432687099989,0.311322775301722,0.508890414053271,1.07684380180604,0.122205701383354,0.133985022958488,0.234706625616449,0.0146869812579492,0.0238143095401326,0.0278473911917293
"21",-3.91666666666667,0.393142911461891,0.547939181011662,0.831577269008615,1.11351344803944,1.380147671726,2.34766287456125,0.317312170784329,0.518037371264002,1.10178482188314,0.124726167376695,0.136031869035029,0.23929669492418,0.0149789184858759,0.0242464642043647,0.0284978055008664
